code,category_friendly_name,examples,category,parent_category
92900,Maintenance and repair services: agricultural and heavy industrial equipment,"Agricultural Implements, Parts and Accessories Maintenance and Repair | Asphalt Distributors, Levelers, Mixers, etc. Maintenance and Repair | Asphalt Heaters Maintenance and Repair | Asphalt Pavers Maintenance and Repair | Asphalt Scarifiers, Milling Machines, Scrapers, etc., Maintenance and Repair | Automotive Shop Equipment Maintenance and Repair | Car Wash Equipment Maintenance and Repair | Concrete Equipment: Buckets, Screeding Machines, Curbers, Finishers, etc., Maintenance and Repair | Concrete Mixers, Maintenance and Repair | Construction Equipment Maintenance and Repair (Not Otherwise Listed) | Concrete and Asphalt Equipment (Not Otherwise Classified) Maintenance and Repair | Cranes: Backhoe, Dragline, Clamshell, etc., Maintenance and Repair | Earth Handling, Grading, Moving, and Packing Equipment Maintenance and Repair | Emergency/Rescue Vehicle Accessory and Major Component Items, Maintenance and Repair | Engines And Motors, Industrial, Maintenance and Repair | Hydraulic Tools, Maintenance and Repair | Lifts and Hoists, Maintenance and Repair | Machine Shop and Fabricating Services, Industrial | Machinery and Heavy Hardware (Not Lawn Equipment) Maintenance and Repair | Material Handling Equipment Maintenance and Repair | Motor and Engine Maintenance and Repair, Small Gasoline | Motor Rewinding and Repairing, Electric | Motorcycles, Bicycles, Motor Scooters, and Trucksters (Including Golf Carts), Maintenance and Repair | Oil Field Equipment Maintenance and Repair | Pneumatic Tools, Maintenance and Repair | Refuse/Garbage Burning Equipment, Maintenance and Repair | Refuse/Garbage Collection/Dumping Equipment Maintenance and Repair | Painting Services, Road and Heavy Industrial Equipment | Road and Highway Equipment (Not Otherwise Classified) Maintenance and Repair | Snow Plow and Blower Maintenance and Repair | Snow Melter Maintenance and Repair | Tanks: Mobile, Portable, Stationary, Storage, etc., Maintenance and Repair (Includes Relining) | Taxiway and Runway Maintenance and Testing Equipment Maintenance and Repair | Spreaders (Salt and Sand), Maintenance and Repair | Sweepers, Street, Maintenance and Repair | Tractors, Industrial: Bulldozers, Crawlers, Wheel Type, Maintenance and Repair | Welding Services, Agricultural, Heavy Industrial and Similar Equipment (Not Otherwise Classified)","EQUIPMENT MAINTENANCE, RECONDITIONING, AND REPAIR SERVICES - AGRICULTURAL, and HEAVY INDUSTRIAL EQUIPMENT",Facilities and landscaping supplies and services
93100 | 96200,"Maintenance and repair services: appliances, furniture, and recreation equipment","Amusement Park Ride Equipment Maintenance and Repair | Appliances and Equipment, Household, (Not Laundry or HVAC) Maintenance and Repair | Athletic and Sporting Goods Equipment and Accessories (Shoulder Pads, etc.), Maintenance and Repair | Bakery Equipment Maintenance and Repair | Barber and Beauty Shop Equipment Maintenance and Repair | Bedding, All Types, Maintenance and Repair | Butcher Shop and Meat Processing Equipment Maintenance and Repair | Cafeteria and Kitchen Equipment, Commercial, Maintenance and Repair | Camping and Outdoor Equipment Maintenance and Repair | Dairy Equipment Maintenance and Repair | Food Processing and Canning Equipment Maintenance and Repair | Furnishings Maintenance and Repair (All Kinds) | Furniture, Not Office, Maintenance and Repair (Includes Refinishing and Reupholstering) | Furniture Installation and Reconfiguration Services (Including Systems Furniture) | Furniture, Office, Maintenance and Repair (Includes Refinishing and Reupholstering) | Lighting Fixtures, Maintenance and Repair | Musical Instruments, Maintenance and Repair | Park, Playground, and Swimming Pool Equipment Maintenance and Repair | Sewing Room and Textile Machinery Maintenance and Repair | Skating Rink Equipment, Roller and Ice, Maintenance and Repair | Vending Machine Maintenance and Repair | Mattress and Bedspring Renovation and Repair | Piano Tuning Services","EQUIPMENT MAINTENANCE, RECONDITIONING, AND REPAIR SERVICES - APPLIANCE, ATHLETIC, CAFETERIA, FURNITURE, MUSICAL INSTRUMENTS",Facilities and landscaping supplies and services
93400,"Maintenance and repair services: laundry, lawn, painting, plumbing, and spraying equipment","Broom, Brush, and Mop Manufacturing Equipment Maintenance and Repair | Floor Maintenance Machines, Floor Covering Equipment Maintenance and Repair | Irrigation Systems Maintenance and Repair | Janitorial Equipment Maintenance and Repair | Laundry and Dry Cleaning Equipment, Commercial, Maintenance and Repair | Laundry Equipment Maintenance and Repair, Household | Lawn Equipment Maintenance and Repair | Painting Equipment Maintenance and Repair | Pipe and Pipe Fittings Maintenance and Repair | Plumbing Equipment and Fixtures, Maintenance and Repair | Spraying Equipment Maintenance and Repair | Toilets, Portable, Maintenance and Repair (Including Servicing)","EQUIPMENT MAINTENANCE, RECONDITIONING, AND REPAIR SERVICES - LAUNDRY, LAWN, PAINTING, PLUMBING, AND SPRAYING EQUIPMENT",Facilities and landscaping supplies and services
56000,Material handling and storage equipment,"Cargo Handling Equipment | Carts, Industrial, All Kinds (Except Gas and Hospital) | Conveying Systems, Food Processing | Conveyor Accessories (Not Otherwise Classified) | Conveyor Line Boosters, Powered | Conveyor Systems, Overhead | Conveyors and Hoists, Laundry Handling | Conveyors, Belt Type: Canvas, Metal, and Rubber | Conveyors, Bucket Type (Not Road Building) | Conveyors, Gravity, Roller Type, Aluminum and Steel Frames | Conveyors, Gravity, Wheel Type, Aluminum and Steel Frames | Conveyors, Pneumatic | Conveyors, Powered, Roller Type | Conveyors, Screw Type | Conveyors, Vibrating | Conveyor, Vertical Reciprocating | Cranes, All Kinds (Except Automotive and Road and Bridge Building) | Dockboards and Ramps, All Types | Drum and Other Container Handling Equipment (Not Otherwise Classified) | Fuel and Fuel Oil Handling Equipment | Lifters and Stackers, Hydraulic and Powered | Lifting and Loading Equipment and Accessories (Not Otherwise Classified) | Liquid Mixing Equipment | Material Handling Equipment Batteries and Chargers | Pallet Storage Racks | Pallets and Skids (Metal, Plastic, Wood) | Tow, Battery Powered | Tie-Downs, Straps, etc. | Tractors, Warehouse | Trucks, Barrel, Cylinder, and Drum | Moving Devices, Equipment | Trucks, Dolly | Trucks, Hand, Shelf | Trucks, Hand, Two-Wheeled | Trucks, Lift, Hand Operated | Trucks, Lift, Powered: Fork Lifts, etc. | Trucks, Pallet, Hand Operated and Powered | Trucks, Platform | Storage, Shelving, and Accessories (Not Otherwise Classified) | Warehouse Equipment and Supplies (Not Otherwise Classified) | Wheels, Industrial, Steel, Pneumatic, and Rubber Tired Molded-on | Recycled Material Handling and Storage Equipment and Accessories",MATERIAL HANDLING AND STORAGE EQUIPMENT AND ALLIED ITEMS,Facilities and landscaping supplies and services
57000,Metal stock,"Alloy Coatings and Sealers for the Repair of Metal Shafts, Journals, Spindles, etc. | Alloy Metal: Angles, Sheets, etc. (Not Otherwise Classified) | Aluminum: Bars, Plates, Posts, Rods, Sheets, Siding, Strips, Structural Shapes, Tubes, etc. | Aluminum Ingots | Bar Stock, All Kinds (Not Otherwise Classified) | Bolt and Stud Stock, Steel | Brass and Bronze: Bars, Plates, Rods, Sheets, Strips, etc. | Brass Ingots | Bronze Ingots | Bushing Stock, Brass and Bronze | Cast Iron, Primary and Semi-Finished | Crayons, Metal Worker's | Coil Stock | Copper: Bars, Plates, Rods, Sheets, Strips, etc. | Cutting Rod | Decking, Steel | Earth's Metals (Not Otherwise Classified) | Expanded Metal (Not Stainless) | Expanded Metal, Stainless | Forms, Metal (For Concrete Curbs, Columns, and Gutters) | Foil Stock | Ferrous and Non-Ferrous Metals | Guard Rails and Accessories: Bolts, Posts, Terminal Ends, Washers, etc. (See 540-73 for Wood Posts) | Iron: Angles, Bands, Plate, Sheets, etc. | Ingots (Not Otherwise Classified) | Lead: Bulk, Granulated, Strips, etc. (Not Plumbing or Paint) | Keystock, All Sizes | License Plate Blanks | License Plates Complete (Purchased Through Bid Process) | Magnesium Alloy: Bars, Plates, Rods, Sheets, Strips, etc. | Magnesium Alloy Ingots | Metals, Alkali (Not Otherwise Classified) | Nickel | Ornamental Ironwork | Pig Iron Ingots | Posts, Steel (For Delineator Markers, Mile Markers, etc.) | Posts, Metal (Other Than Steel) | Post-Tensioned Type Reinforcing System (For Concrete Slabs) | Precious Metals: Gold, Silver, etc. (See 175-19 and 260-52 for other uses) | Rails, Railroad, Steel | Scrap Metals, All Kinds | Shafting: Bronze, Monel, Stainless Steel, Steel, etc. | Sheet Metal, Fabricated (Custom-Made Sheet Metal Items) | Sheet Piling, Steel | Shim Stock | Spring Steel | Stainless Steel: Bars, Plates, Rods, Sheets, Strips, Tubes, etc. | Steel Bridge Truss, Overhead | Steel, Cold Rolled: Bars, Plates, Rods, Sheets, and Strips | Steel, Fabricated: Beams, Gabions, Gratings, Walkways, Window Bars, and Custom-Made Steel Items | Steel, Galvanized: Bars, Pipes (Not Plumbing), Plates, Rods, Sheets, Strips, etc. | Steel, Mild: Bars, Plates, Rods, Sheets, Strips, Tubes, etc. | Steel, Reinforcing, Bars and Rods | Steel, Reinforcing, Mesh | Steel, Reinforcing, Fabricated | Steel Siding | Steel Sheets, High Carbon (For License Plates, etc.) | Steel Studs, Dry Wall | Steel Wire Panels (For Partitions, Window Guards, etc.) | Structural Shapes, Other Than Steel: Angles, Channels, I-Beams, etc. | Structural Shapes, Steel: Angles, Channels, I-Beams, etc. | Tin | Titanium | Tool Steel: Bars, Drill Rod, Flat Stock, etc. | Tile, Metal | Transition Metals (Not Otherwise Classified) | Tubing, Mechanical, Steel: Rectangular, Round, Square, etc. (See 570-91 for Structural Tubing) | Tubing, Structural Grade | Zinc: Anodes, Sheets, etc. | Recycled Metals and Related Items","METALS: BARS, PLATES, RODS, SHEETS, STRIPS, STRUCTURAL SHAPES, TUBING, AND FABRICATED ITEMS",Facilities and landscaping supplies and services
59500,Nursery stock and supplies,"Bamboo, Cane, Rattan, Reed, etc. | Aquatic Plants | Bedding Plants and Cuttings | Bulbs and Seeds | Edging, Lawn | Flowers, Fresh | Fountains, Statues and Other Decorative Lawn and Garden Items | Grates, Guards, and Other Protective Devices For Trees and Shrubs | Groundcovers and Vines | Horticultural Specialties incl. Ornamental Floriculture Products | Nursery, Greenhouse and Floral Supplies: Labels, Planters, Pots, Tags, Trellises, etc. | Peat Moss | Perennials | Plant Foods (Not Fertilizer) | Plants, Non-Flowering | Plant Shine | Plants, Herb | Plant Sprayers and Respirators, Plant Propagation Mats, etc., and Accessories | Plants, Indoor | Recycled Nursery Equipment and Accessories | Rocks, Ornamental and Decorative | Shrubbery, Evergreen | Shrubbery, Flowering | Terrariums | Trees, Fruit and Nut | Trees, Ornamental and Shade | Tropicals | Turf Blankets, Seeded (Including Recycled) | Vases, Flower Pots, Pottery, etc. | Vermiculite and Perlite | Wood Chips and Bark: Composted, Shredded, etc.","NURSERY STOCK, EQUIPMENT, AND SUPPLIES",Facilities and landscaping supplies and services
63000,"Paint, varnish, and wallpaper","Additives and Miscellaneous Paint Ingredients: Driers, Fungicides, Latexes, Pigments, Surfactants, etc. | Bleach, Wood | Caulking Compounds, Bulk or Cartridge Type | Coatings, Masonry (For Brick, Cinder Block, Concrete, etc.) | Coatings, Protective, Polyurethane, etc. | Coatings, Protective, Asphalt Based (Also See Class 770-26) | Coatings, Protective, Zinc-Rich (Cold Galvanizing Compound) | Colors, Tinting (Oil or Universal Type) and Lettering | Fillers and Sealers, Masonry: Block Fillers, Water Repellent Solutions, etc. | Fillers and Sealers, Wallboard | Fillers and Sealers, Metal | Fillers and Sealers, Wood: Paste, Plastic Wood, Sanding Sealers, etc. | Fillers and Sealers, Fiberglass | Fire-Retardant and Heat-Resistant Coatings (Not Aluminum Paint) | Lacquer and Shellac, Clear and Colored | Linseed Oil | Mix, Paint Water | Paint and Varnish Removers (Includes Painted Graffiti Removers) (See 485-16 for Other Types of Graffiti Removers) | Paint, Aluminum (Not Roof Coating) | Paint, Automotive and Machinery | Paint, Deck and Floor | Paint, Freezer and Wet Surface | Paint, House and Trim | Paint, Miscellaneous: Blockout, Bronzing Liquid, Epoxy, Fluorescent, Oil Paste, Reflective, Tint Base, Tree Pruning, USDA Approved, etc. | Paint, Marine | Paint, Masonry | Paint, Rust Preventative | Paint, Sports Court (Outdoor) | Paint, Spray (Aerosol) | Paint, Swimming Pool | Paints, Traffic | Paint Sticks, Annealing | Primers, Rust Inhibiting: Red Oxide, Zinc Chromate, etc. | Putty, Glazing (Metal and Wood Sash) | Putty: Lacquer, Plumbers, Tape | Recycled Paints, Lacquers, Shellacs, Varnish, Primers, Coatings, Sealers, etc. | Sealers and Primers, Paint | Stains and Varnishes | Textured Coatings, All Kinds | Thinners (Reducers): Alcohols, Aromatic Solvents, Esters, Ketones, Mineral Spirits, Turpentine, V M and P Naphtha, etc. | Wall Coverings, Fabric and Plastic | and Accessories (Including Recycled Types) | Wallpaper, Paste, and Canvas (Including Paper Hanger Tools and Recycled Types) | Wood Preservative and/or Water-Repellent Finishes","PAINT, PROTECTIVE COATINGS, VARNISH, WALLPAPER, AND RELATED PRODUCTS",Facilities and landscaping supplies and services
63500,Painting equipment and accessories,"Can Opener, Paint (Pneumatic) | Cleaner and Conditioner, Paint Brush | Compressors, Portable Paint Sprayer, Electric Motor or Engine Driven (Up to 25 CFM @ 100 PSI) | Drop Cloths, Hoods and Mitts, Painter's | Filter Pads, Paint Arrester | Masking Film (Spray Booth Lining), Masking Paper, etc. | Paint Conditioners, Mixers, Shakers, and Tinting Machines | Paint and Varnish Removing Equipment | Rollers, Paint Can Holders, Trays and Accessories | Screens and Strainers | Spray Booths and Accessories, Paint | Spray Booths and Accessories, Water Wash | Sprayer Components and Accessories: Guns, Hoses, Pots, Regulators, Tanks, etc. | Sprayers and Spray Systems, Industrial, Heavy Duty | Spraying Outfits, Portable, Light Duty | Recycled Painting Equipment and Accessories",PAINTING EQUIPMENT AND ACCESSORIES,Facilities and landscaping supplies and services
65800,Pipe and tubing,"Pipe, Alloy Steel, Chrom-Moly, Stainless | Pipe, Aluminum | Pipe, Asbestos-Cement | Pipe, Bituminized Fiber | Pipe, Bonded (All Types) | Pipe, Brass | Pipe, Bronze | Pipe, Cast Iron | Pipe, Chrome | Pipe, Clay (Terra Cotta) | Pipe, Concrete | Pipe, Copper | Pipe, Ferrous Alloy | Pipe, Fiberglass | Pipe, Iron (Includes Ductile Iron Pipe) | Pipe, Lead | Pipe, Magnesium | Pipe, Non-Ferrous Alloy | Pipe, Plastic (Incls. Fiber Reinforced Plastic Pipe, Polybutylene Pipe) | Pipe, Polyethylene | Pipe, PVC (Polyvinyl Chloride) | Pipe, Rubber | Pipe, Soil | Pipe, Stainless Steel | Pipe, Steel | Pipe, Steel, Wrought | Pipe, Tin | Pipe, Titanium | Pipe, Zinc | Tubing, Brass, Bronze, and Copper (See 570-91 for Structural Tubing) | Tubing: Ferrous and Non-Ferrous Alloy | Tubing: Iron, Lead, Magnesium | Tubing, Plastic and PVC | Tubing: Tin, Titanium, Zinc | Tubing, Stainless Steel (See 570-91 for Structural Tubing) | Tubing, Steel | Recycled Pipe and Tubing | Tubing (Not Otherwise Classified)",PIPE AND TUBING,Facilities and landscaping supplies and services
65900,Pipe and tubing fittings,"Adapters | Bends | Bushings | Caps | Connectors | Couplings | Crosses, Crossovers, Curves | Elbows, Steel | Elbows (Other than Steel) | Ells | Extensions, Pipe | Ferrules, Flanges, Glands | Hubs, Increasers, Inserts, Joints | Laterals, Nipples | Lining, Pipe (Cement, Epoxy, etc.) | Offsets, Plugs, Pipe Rests | Reducers | Saddles, Sleeves, Straps | Tubing Fittings (Brass, Bronze, and Copper) | Tubing Fittings (Plastic, PVC) | Tubing Fittings (Stainless Steel) | Tubing Fittings (Steel) | Tees, Steel | Tees (Other Than Steel) | Unions | Vees (V) | Wyes (Y) | Recycled Pipe and Tubing Fittings | Pipe Fittings, Misc. (Not Otherwise Classified)",PIPE AND TUBING FITTINGS,Facilities and landscaping supplies and services
67000,Plumbing equipment and supplies,"Bathroom Accessories: Fans, Mirrors, Medicine Cabinets, Soap Dishes, Towel Bars and Rings, etc. | Bathtub and Shower Cleaners | Cathodic Protection Equipment | Cement and Cleaners (For Plastic Conduit, Fittings, and Pipe) | Compound, Pipe Joint and Tape | Drains, Grease Traps, etc. | Dryers, Hand, Electric | Grout, Pipe and Sewer | Grab Bars | Gas Meters, Indicating and Recording | Hand Tools, Including Plungers | Hydraulic Fusion Machine for Pipe | Irrigation Systems, Supplies, Parts, and Accessories | Lead: Flashings, Ingots, Sheets, etc. | Liquid Heaters, Immersion Type | Oakum | Pipe Hangers, Constant Support Type, for Power Plant Operations | Pipe Hangers, Concrete Inserts, Joint Restraints, etc. | Pipe and Utility Markers | Pipe Repair Clamps and Couplings | Pipeline Equipment and Tools (For Construction and Laying of the Pipeline) | Plumbing Brass (Tubular Goods) | Plumbing Fixtures and Parts: Lavatories, Showers, Sinks, Toilets (Water Closets), Tubs, etc. | Plumbing Trim: Faucets, Fittings, etc. | Rubber Goods and Plumbing Specialities: Gaskets, Leathers, Seats, Washers, etc. | Sealants, Waterplug | Septic Tanks and Cesspools (Other than Concrete) | Sewer Pipe Cleaning Machines, Power Driven | and Parts | Shower Stalls, Doors, and Tub Enclosures | Service Boxes and Parts | Supplies and Stops | Toilet Partitions and Doors | Vacuum Breakers | Valves, Aluminum | Valves, Brass and Copper | Valves, Bronze: Angle, Ball, Check, Gate, Globe, etc. | Valves, Butterfly, All Kinds | Valves, Chrome | Valves, Flush, All Types | and Parts | Valves, Drop-Out | Valves, Iron Body: Angle, Check, Gate, Globe, etc. | Valve Parts, Miscellaneous | Valves, Plastic: Ball, Check, Diaphragm, Globe, etc. | Valves, Semi-Steel | Valves, Solenoid Control | Valves, Stainless Steel: Angle, Ball, Check, Gate, Globe, etc. | Valves, Steel: Angle, Check, Gate, Globe, etc. | Venturi Tubes, Air and Vacuum | Water Filtration, Conditioning, and Purification Equipment for the Office and Home | Water Conservation Kits | Water Hammer Arrester | Water Heater, Residential | Water Heaters, Commercial | Water Softening Equipment, Residential | Water Softening Equipment, Commercial (Also see 890-85) | Recycled Plumbing Equipment, Accessories and Supplies","PLUMBING EQUIPMENT, FIXTURES, AND SUPPLIES",Facilities and landscaping supplies and services
67500,Poisons,"Defoliants, Cotton | Fumigating Gases (Other Than Soil) | Grains and Baits, Poisoned | Insecticides and Fungicides, Dry | Insecticides and Fungicides, Liquid | Pesticides | Poison Adjuvants: Emulsifiers, Spreader/Stickers, Wetting Agents, etc. | Recycled Poisons for Agriculture and Industrial Use | Rotenone (Fish Toxicant) | Seed and Soil Fumigants and Sterilants | TCA (Trichloroacetic Acid, Sodium Salt) | Weed Control Blankets (Including Recycled Types) | Weed Killers (Herbicides), Dry | Weed Killers (Herbicides), Liquid",POISONS: AGRICULTURAL AND INDUSTRIAL,Facilities and landscaping supplies and services
96800 | 96100 | 96200 | 91800,Public works related services,"Back Flow Preventer Testing Services | Corrosion Control Services | Crushing, Screening, etc. of Stone and Other Road Materials | Ditch Maintenance | Dredging Services | Dust Control Watering | Foundry Services | Graffiti Removal Services | Incinerator Services | Inspection Services, Construction Type | Leaf, Bush, Tree Limb Collection | Meter Reading Services | Parking Meter Services (Including Collection, Installation, and Removal) | Pavement Marking Services (Including Removal of Markings) | Pavement Data Collection Services | Relocation and/or Removal Services for Utility Works | Response and Recovery Services, Roadway Incident | Right of Way Services (Including Title, Appraisal, Negotiation, Closing, Relocation, Condemnation, etc.) | Sandblasting Services (See 910-83 for Sandblasting of Buildings) | Solid or Liquid Waste Disposal (Including Management Services) (See 926-45 for Hazardous Waste Disposal) | Snow and Ice Removal Services | Storm Drain Cleaning, Repair, and Sludge Removal Services | Street Sweeping Services | Streetscaping Services | Street Light Maintenance and Repair | Tank Installation, Removal, Disposal, and Related Services (Including Underground Type) | Telephone (Utility, Light) Pole Installation, and Relocation Service | Traffic Sign Installation and/or Removal Services | Traffic Sign Maintenance and Repair | Traffic Signal Installation | Traffic Signal Maintenance and Repair | Traffic Control Services (To Include Placement and Removal of Control Devices) | Traffic Counting Services | Tree and Shrub Removal Services | Traffic Studies and Analysis Services | Vehicle Towing and Storage | Water Supply Analysis, Infrastructure Analysis, Water Quality Analysis, and Long Term Planning | Water Supply Plant Operating and Monitoring System Services (Including Water Resources Development and Water Quality Management Services) | Well Pointing Services (Dewatering) | Waterproofing Systems and Repair | Wastewater Treatment Plant, Operations, Testing, and Maintenance | Water and Wastewater Treatment Services | Wrecking and Removal Services | Sign Painting Services | Sign Making Services | Utility Services, Electric, Gas, Water | Water and Petroleum Pipeline Services | Cesspool Cleaning and Maintenance | Chemical Treatment of Boiler and Tower Water | Leak Detection Services: Gas, Water, Chemical | Utility Locator Service (Underground) | Video Scanning of Sewers, Waterwells, etc. | Utilities: Gas, Water, Electric Consulting",PUBLIC WORKS AND RELATED SERVICES,Facilities and landscaping supplies and services
72000,Pumping equipment and accessories,"Asphalt Pumps | Automatic Fueling Systems, Accessories and Parts | Barrel Pumps (Drum Pumps), Rotary and Plunger Types, Hand Operated | Boom Pumps and Parts, Concrete | Booster or Circulating Pumps, In-Line | Cavity Pumps, Progressive | Centrifugal Pumps, Portable | Centrifugal Pumps, Compact, Submersible | Centrifugal Pumps, Stationary | Compressors, Compressed Natural Gas (CNG) | Control Devices for Motor Fuel Dispensing/Security/Management | Diaphragm Pumps | Fire Equipment Pumps and Pump Parts | Gasoline, Compressed Natural Gas (CNG), Liquified Petroleum Gas (LPG), and Diesel Fuel Pumps, Service Station Type | Hydraulic Pumps, Hand and Motor Driven | Mechanical Pumps and Accessories | Meters and Dispensers for Fuel, Oil, and Lubricants | Packing, Pump | Oil Pumps and Accessories (See 060-64 for Automotive Type) | Piston Pumps and Parts | Propeller Pumps, Vertical | Proportioning Pumps: Chemical Feed, Metering, Positive Displacement, and Injector Pumps (See Also Class 820) | Pumps, Miscellaneous (Not Otherwise Classified) | Recovery Pumps and Piping (Free Product, Groundwater, etc.) | Recycled Pumping Equipment and Accessories | Rotary Pumps, Gear or Roller Type, Power Driven | Sampling Pump Systems and Accessories | Sewage and Sludge Pumps, Submersible | Sewage and Sludge Pumps, Surface Mounted | Sump Pumps, Submersible and Non-Submersible | Trash Pumps, Portable, Engine-Driven | Water Pumps and Accessories (See 060-35 for Automotive Type) | Water Well Accessories: Drive Points, Foot Valves and Strainers, Leather Cups, Sucker Rods, Well Cyclinders, etc. | Well Pumps, All Kinds",PUMPING EQUIPMENT AND ACCESSORIES,Facilities and landscaping supplies and services
73500,Rags and shop towels,"Dispenser for Wipers | Towels, Shop Type, New | Wipers, Fabric, Non-Woven | Wiping Rags, All Types: Cotton Towels, Lightweight Blankets, Muslins, Synthetics, etc. | Recycled Rags, Shop Towels and Wiping Cloths","RAGS, SHOP TOWELS, AND WIPING CLOTHS",Facilities and landscaping supplies and services
65000,Recreational area and swimming pool equipment,"Amusement Park Ride Equipment, Accessories and Parts | Benches, Park (Including Bus Stop Benches) | Bicycle Racks | Climbers, Playground | Combination Sets, Playground | Golf Course Maintenance Tools and Equipment (For Lawn Mowers See Class 515) | Grill and Park Stoves, Outdoor | Ice Rink Resurfacer | Picnic Tables | Playground Equipment (Not Otherwise Classified) (See 420-04 for Bleachers) | Rakes, Beach (Tractor Towed) | Recycled Recreational and Park Equipment | Safety Surfaces, Playground | Seesaws, Playground | Slides, Playground | Sports Field Maintenance Equipment | Swimming Pools, Equipment, and Supplies (Including Heaters, Lights, and Vacuum Machines | for Chemicals See Class 885) | Swings, Playground | Umbrellas, Lawn and Picnic Type | Whirls","PARK, PLAYGROUND, RECREATIONAL AREA AND SWIMMING POOL EQUIPMENT",Facilities and landscaping supplies and services
74000,Refrigeration equipment and supplies,"Ammonia | Bacterial and Odor Control Equipment | Cold Storage Doors | Cold Storage Vaults, Walk-In Coolers, and Shelving | Compressors and Parts | Condensing Units | Cylinders, Empty (For Refrigerant Gases) | Display Cases, Refrigerated | Dry Ice Making Machines | Gaskets and Felts | Hand Tools, Refrigeration | Ice Making and Dispensing Machines (Not Dry Ice) | Refrigerant Gases (Except Ammonia) | Refrigeration Accessories and Supplies: Capillaries, Controls, Dryers, Expansion Valves, Refrigerant Oil, Sealants, Sight Glasses, Thermometers, Vibration Eliminators, etc. | Refrigerant Recovery Systems and Accessories | Refrigeration Tubing and Fittings | Refrigeration Units (For Vaults and Walk-In Coolers), Complete and Self Contained | Refrigerators and Freezers, Commercial | Scale Eliminator Devices, Ice Machine | Vending Machines, Refrigerated | Water Filters, Ice Machine | Recycled Refrigeration Equipment and Accessories",REFRIGERATION EQUIPMENT AND ACCESSORIES,Facilities and landscaping supplies and services
98300,"Rental and lease: clothing, janitorial, laundry, lawn, painting, and spraying equipment","Broom, Brush, and Mop Manufacturing Machinery Rental or Lease | Clothing Rental or Lease (Incl. Formal Wear | Floor Maintenance Machine Rental or Lease | Janitorial Equipment Rental or Lease | Laundry and Dry Cleaning Equipment, Commercial, Rental or Lease | Lawn Equipment Rental or Lease | Painting Equipment and Supplies Rental or Lease | Robes, Caps, and Gowns (Choir and Graduation), Rental or Lease | Spraying Equipment Rental or Lease | Textiles, Linens, etc. Rental or Lease (Including Shop Towels) | Treated and Dry Mops and Rugs (Including Floor Mats) Rental or Lease | Treated and Dry Sweeping and Dust Cloth Rental or Lease | Uniform Rental or Lease","RENTAL OR LEASE SERVICES OF EQUIPMENT - CLOTHING, JANITORIAL, LAUNDRY, LAWN, PAINTING, SPRAYING, AND TEXTILE EQUIPMENT",Facilities and landscaping supplies and services
77000,Roofing,"Aggregate, Gravel, Marble and Stone Chips, etc. (For Roofs) | Asphalt, Roofing | Bolts, Clips, Fasteners, etc. (For Sheet Roofing) | Cant Strips (Expansion Joint Fillers) | Caps, Roofing | Cements and Mastics, Roofing | Coatings, Roof, All Kinds | Felt, Roofing (Rolls) | Flashing, Eave Strips, Gravel Guards, Ridge Rolls, Valleys, etc. (Metal) | Flashing, Plastic | Insulation, Roof, All Kinds | Paper, Roofing | Primers, Roofing | Roofing, Aluminum: Corrugated, V-Crimp, etc. | Roofing, Asbestos-Cement: Corrugated, etc. | Roofing, Baked Enamel Sheet Steel: Corrugated, V-Crimp, etc. | Roofing: Coated, Elastomeric, Sprayed Foam, etc. | Roofing, Composition: Rolls | Roofing, Concrete Tile | Roofing, Galvanized Sheet Metal: Corrugated, V-Crimp, etc. | Roofing, Malleable Iron | Roofing, Plastic and Fiberglass: Corrugated, etc. | Roofing Repair Kits | Roofing Supplies (Not Otherwise Classified) | Roofing, Tin | Shingles, Asbestos | Shingles, Composition, Asphalt | Shingles, Fiberglass | Shingles, Metal | Shingles, Wood | Skylights, All Types | Tar, Roofing (Coal Tar Pitch) | Waterproofing Membrane and Base Sheet | Recycled Roofing Material and Supplies Including Insulation",ROOFING,Facilities and landscaping supplies and services
79000,"Seed, sod, soil, and inoculants","Athletic Field Compositions (Baseball Infields, etc.) | Desert Plant Seed | Field Seed: Cotton, etc. | Field Seed: Grains, etc. | Fruit Seed | Grass Seed | Inoculants | Melon Seeds (Incl. Pumpkin) | Millet Grass | Nut Seeds | Seed Peanuts | Rice Seed | Seed Potatoes | Seed, Spices | Sod, Grass | Soil Mixtures (Special) | Sprigs, Grass | Top Soil and Fill Dirt (For Mulch See Class 335) | Tree Seeds | Vegetable Seed | Recycled Seed, Soil, Sod and Inoculants","SEED, SOD, SOIL, AND INOCULANTS",Facilities and landscaping supplies and services
29000,Solar and wind energy collection equipment,"Cells, Solar (Photovoltaic Cells), Unmounted | Recycled Energy Collection Equipment and Supplies | Solar Air Conditioning Systems and Accessories: Absorption Type, etc. | Solar Space Heating Systems and Accessories | Solar Heat Collector Systems and Accessories | Solar Heat Collector Tracking Systems and Accessories | Solar Heat Collectors, Concentrating Type | Solar Heat Collectors, Evacuated Tube Type | Solar Heat Collectors, Flat Plate Type | Solar Powered Electrical Systems (For Battery Charging, etc.) | Solar Energy Systems, Complete | Solar Radiant Flux Measuring Instruments (See also 220-33) | Solar Water Heating Systems and Accessories | Wind Electrical Generating Systems and Accessories",ENERGY COLLECTING EQUIPMENT AND ACCESSORIES: SOLAR AND WIND,Facilities and landscaping supplies and services
