TYPE OF CONTRACT,CONTRACT,PA,COMPANY,SERVICE,EXPIRATION,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #,NOTES
County,7347,WC,RANDALL INDUSTRIES,STEAM CLEANING SOLUTION,2015-11-30,51060,"1401 FORBES AVE, SUITE 300","PITTSBURGH, PA 15219",g.spencer11@verizon.net,Gregory Spencer,412-281-6904,412-281-6906,
County,7348,EP,JACKSON WELDING SUPPLY COMPANY,SPECIALTY AND MEDICAL GASES,2015-12-31,51041,1421 WEST CARSON STREET,"PITTSBURGH, PA 15219",Jackson.welding@verizon.net,Rick Williamson,412-391-4500,412-281-2299,
County,7352,EP,POWELL MECHANICAL,REPAIR/MAINT./FURISH/INSTALL: HVAC SYSTEMS (CD AREAS),2015-09-30,51061,4845 HARRISON STREET,"PITTSBURGH, PA 15201",colin@powellmechanical.com,Colin Powell,412-781-2121,412-622-7063,
County,7359,EP,ALLEGHENY FENCE CONSTRUCTION,"FENCING INSTALLATION, REPAIRS, ETC. FOR VARIOUS CITY SITES",2016-12-31,51118,4301 IRVINE ST,"PITTSBURGH, PA 15207",patty@alleghenyfence.com,Craig Nayhouse,412-421-6005,412-421-1734,
County,7361,PR,STANLEY CONVERGENT SYSTEMS,SECURITY PRODUCTS AND SOLUTIONS (wsca contract),2017-10-31,50820,917 S FIRST STREET,"LAS VEGAS, NV 89101",howard.wulforst@sbdinc.com,Howard Wulforst,702-474-9135,702-474-9340,
County,7363,WC,ATLAS MATERIALS RECYCLING CORPORATION,SALE OF RECYCLABLE PAPER,2016-03-31,51059,2329 WHARTON STREET,"PITTSBURGH, PA 15203",lance.farber@gmail.com,Lester Parker,412-431-5239,412-431-6245,
County,7377,,"COSTA CONTRACTING, INC.","RENOVATION/REPLACEMENT OF CONCRETE SIDEWALK AND VARIOUS OTHER CONCRETE WORK, ETC",2015-12-31,51173,347 LEFEVER HILL ROAD,"CHESWICK, PA 15024",domenic@costacontracting.com,Domenic Costa,724-265-4388,724-265-0077,
County,7380,EP,IBIS TEK DBA IBIS SIGNS,WAYFINDER SIGNAGE SYSTEM: MATERIALS III,2015-12-31,51119,912 PITTSBURGH ROAD,"BUTLER, PA 16002",rberglund@ibistek.com,Rachel Berglund,724-431-3063,724-431-4361,
County,7381,WC,MOBILEASE MODULAR SPACE,RENTAL OF PORTABLE CLASSROOM TRAILER - FIRE,2015-12-06,51111,201 ROUTE 130,PEDRICKTOWN. NJ 08067,brian@mobileasemodular.com,Peter Barton,856-686-9600,856-686-9240,
County,7382,,PLAVCHAK CONSTRUCTION,"GENERAL REHABILITATION/REPAIR/RENOVATION AND CONSTRUCTION FOR VARIOUS SITES, (CD AREAS INCLUDED)",2016-12-31,,1512 ROUTE 51,"JEFFERSON HILLS, PA 15025",mplavchak@plavchakconstruction.com,Michael Plavchak,412-384-3224,412-384-6770,
County,7383,,"A. FOLINO CONSTRUCTION, INC.",ASPHALT AND CONCRETE MILLING (CD AREAS),2016-12-31,,P.O. BOX 111,"OAKMONT, PA 15139",dfolino@afolino.com,Dino Folino,412-820-2800x211,412-8201808,
County,7384,,PLAVCHAK CONSTRUCTION,REPAIRS / RENOVATION OF BALLFIELDS (INCLUDING C.D. AREAS),2015-12-31,,1513 ROUTE 51,"JEFFERSON HILLS, PA 15026",mplavchak@plavchakconstruction.com,Michael Plavchak,412-384-3224,412-384-6770,
County,7395,WC,PREMIER SAFETY AND SERVICE,FIRE FIGHTER PROTECTIVE GEAR GLOVES,2015-06-30,51058,2 INDUSTRIAL PARK DRIVE,"OAKDALE, PA 15071",k.varadi@premiersafety.net,Keith Varadi,724-693-8699,724-693-8698,
County,7421,,"A. FOLINO CONSTRUCTION, INC.","PAVERLAID HOT MIX PAVING, ETC. (CD AREAS INCLUDED) II",2016-02-28,51147,P.O. BOX 111,"OAKMONT, PA 15139",dfolino@afolino.com,Dino Folino,412-820-2800x211,412-820-2808,
County,7428,EP,GRAINGER,MRO SUPPLIES,2019-12-31,51051,100 GRAINGER PARKWAY,"LAKE FOREST, IL 60045",ericchichester@grainger.com,Eric Chichester,412-974-3967,412-380-0767,
County,72694,WC,"AECOM USA, Inc.",ENERGY CONSULTANT SERVICES,2015-06-30,50838,"FOUR GATEWAY CENTER, 20th FLOOR","PITTSBURGH, PA 15222-1222",,Keith Sala,412-395-8888,412-395-8897,
County,6637**,WC,"FATHER & SON DEMOLITION, LLC",PREQUALIFIED CONTRACT for DEMOLITION SERVICES,2015-03-31,49460,4707 ROLAND ROAD,"ALLISON PARK, PA 15101",gk1731@aol.com,George Karis,412-486-6448,412-487-4864,
County,6637**,WC,"ROAC, INC.",PREQUALIFIED CONTRACT FOR DEMOLITION SERVICES,2015-03-31,49454,8500 FRANKSTOWN ROAD,"PITTSBURGH, PA 15235",jrouse247@aol.com,Jocelyn Rouse,412-731-0304,412-731-5357,
County,6637**,WC,NORALCO CORPORATION,PREQUALIFIED CONTRACT FOR DEMOLITION SERVICES,2015-03-31,49453,1920 LINCOLN ROAD,"PITTSBURGH, PA 15235",jkowalik@noralco.com,"John Kowalik, R.",412-361-6678,412-361-6535,
County,6637**,WC,KEN REILLY CONTRACTING,PREQUALIFIED CONTRACT FOR DEMOLITION SERVICES,2015-03-31,49457,6113 VALENCIA,"VALENCIA, PA 16059",kenreillydemolition@yahoo.com,Ken Reilly,724-553-1893,724-625-2645,
County,6637**,WC,A.W. MCNABB,PREQUALIFIED CONTRACT FOR DEMOLITION SERVICES,2015-03-31,49455,4043 WELLINGTON DR.,"OAKDALE, PA 15071",awmcnabb@yahoo.com,Mark McNabb,412-344-2809,412-788-2508,
County,6637**,WC,"JADELL MINNIEFIELD CONSTRUCTION SERVICES, INC.",PREQUALIFIED CONTRACT FOR DEMOLITION SERVICES,2015-03-31,49458,5005 SECOND AVENUE,"PITTSBURGH, PA 15207",jmcsi@verizon.net,Odell Minniefield,412-421-2185,412-421-2184,
County,6637**,WC,DJ DEMO COMPANY,PREQUALIFIED CONTRACT FOR DEMOLITION SERVICES,2015-03-31,49456,809 TALBOT AVENUE,"BRADDOCK, PA 15104",doch22@yahoo.com,Theodore Tiffany,412-475-1720,412-727-2051,
County,6637**,WC,"SCHAAF EXCAVATING CONTRACTORS, INC.",PREQUALIFIED CONTRACT for DEMOLITION SERVICES,2015-03-31,49459,1800 TRIPHAMMER ROAD,"SOUTH PARK, PA 15129",th2524@msn.com,Tim Schaaf,412-670-1980,412-348-6868,
County,6637**,WC,TOM SIPES DEMOLITIION,PREQUALIFIED CONTRACT FOR DEMOLITION SERVICES,2015-03-31,47660,114 BAUER ROAD,"MONACA, PA 15061",ttsdemo@hotmail.com,Tom Sipes,724-495-2712,724-495-2510,
County,6637**,WC,LACO DEMOLITION EXCAVATING,PREQUALIFIED CONTRACT FOR DEMOLITION SERVICES,2015-03-31,49452,"5007 LYTLE STREET, STE. 100","PITTSBURGH, PA 15207",laco.inc@verizon.net,Victor Lapaglia,412-421-2190,412-421-2191,
County,6682**,EP,PENN LANDSCAPE & CEMENT WORK,PRE-QUALIFIED CONTRACT FOR TREE PLANTING,2015-09-30,49434,5860 SALTSBURG ROAD,"VERONA, PA 15147",avaccarello1234@gmail.com,Anthony Vaccarello,412-793-1765,412-492-0346,
County,6682**,EP,"EISLER LANDSCAPES, INC",PRE-QUALIFIED CONTRACT FOR TREE PLANTING,2015-09-30,49433,1031 NEW CASTLE ROAD,"PROSPECT, PA 16052",eric@eilserlandscapes.com,Eric French,724-865-2830,724-865-9018,
County,6683**,EP,"ASTCO CONSTRUCTION, INC.",PQ CONTRACT FOR EARTH EXCAVATION AND SNOW REMOVAL,2015-09-30,50056,724 NORTH ALLEGHENY AVENUE,"PITTSBURGH, PA 15206",atcsoinc@concast.net,Armand Tedesco,412-363-6700,412-363-6810,
County,6683**,EP,JOHN ZOTTOLA LANDSCAPING,PQ CONTRACT FOR EARTH EXCAVATION AND SNOW REMOVAL,2015-09-30,50359,209 CURTIS STREET,"PITTSBURGH, PA 15235",jes.jzlinc@comcast.net,John Zottola,412-242-9890,412-242-1123,
County,6683**,EP,CHARLES J. MERLO,PQ CONTRACT FOR EARTH EXCAVATION AND SNOW REMOVAL,2015-09-30,49445,234 MERLO ROAD,"MINERAL POINT, PA 15942",smerrick@cjmerlo.com,Steve Merrick,814-322-1545,814-322-1549,
County,6683**,EP,R&B CONTRACTING & EXCAVATION,PQ CONTRACT FOR EARTH EXCAVATION AND SNOW REMOVAL,2015-09-30,50852,4821 BUTTERMILK HOLLOW ROAD,"WEST MIFFLIN, PA 15122",jhoffman@rbcontracting.net,William Rogers,412-469-1706,412-466-2154,
County,6685**,WC,KNEPPER PRESS,PQ CONTRACT for PRINTING SERVICES,2015-09-30,49573,"2251 SWEENEY ROAD, CLINTON COMMERCE PARK","CLINTON, PA 15026",dr@knepperpress.com,Don Rusczynski,412-899-4200,412-899-1331,
County,6685**,WC,OMNI ASSOCIATES,PQ CONTRACT fOR PRINTING SERVICES,2015-09-30,49573,420 FORLAND STREET,"PITTSBURGH, PA 15212",ed@omnibydesign.com,Edward Heal,412-322-6676,412-322-6678,
County,6685**,WC,ARC PITTSBURGH,PQ CONTRACT for PRINTING SERVICES,2015-09-30,49573,950 PENN AVENUE,"PITTSBURGH, PA 15212",frank.loughan@e-arc.com,Frank Loughan,412-281-1800,412-281-8243,
County,6685**,WC,"TRIB TOTAL MEDIA, INC.",PQ CONTRACT FOR PRINTING SERVICES,2015-09-30,49573,503 MARTINDATE ST.,"PITTSBURGH, PA 15212",jwalters@tribweb.com,Jennifer L. Walters,724-779-7167,412-320-7860,
County,6685**,WC,"VANGUARD PRINTING, LLC",PQ CONTRACT FOR PRINTING SERVICES,2015-09-30,49573,17 HALL WOODS ROAD,"ITHACA, NY 14850",jkiernan@vanguardprintingllc.com,Jim Kiernan,607-330-7197,607-273-0846,
County,6685**,WC,"OFFICE MAX N.A., INC.",PQ CONTRACT FOR PRINTING SERVICES,2015-09-30,49573,263 SHUMAN BLVD.,"NAPIER, IL 60563",kerrilavery@officemax.com,Kerri Lavery,630-438-7800,630-773-6708,
County,6685**,WC,K & B OFFSET PRINTING,PQ CONTRACT FOR PRINTING SERVICES,2015-09-30,49573,3500 E. COLLEGE AVENUE,"STATE COLLEGE, PA 16801",lyndam@theprinters.com,Lynda Morris,814-237-7600,814-237-7574,
County,6685**,PR,VARIOUS -SEE VENDOR LIST (7),PQ CONTRACT FOR PRINTING SERVICES,2015-09-30,49573,,,,,,,
County,6686**,WC,UNITED GRAPHICS FORMS & SYSTEMS,PQ CONTRACT FOR FORMS PRINTING SERVICES,2015-09-30,49572,PO BOX 489,"INGOMAR, PA 15127",unijb@comcast.net,Jennifer Brindle Foust,724-935-4372,724-935-4373,
County,6686**,WC,"OFFICE MAX N.A., INC.",PQ CONTRACT FOR FORMS PRINTING SERVICES,2015-09-30,49572,263 SHUMAN BLVD.,"NAPIER, IL 60563",kerrilavery@officemax.com,Kerri Lavery,630-438-7800,630-773-6708,
County,6686**,WC,PITTSBURGH MAILING SYSTEMS,PQ CONTRACT FOR FORMS PRINTING SERVICES,2015-09-30,49572,4777 STREETS RUN ROAD,"PITTSBURGH, PA 15236-1297",mmarutz@pittsburghmailing.com,Michael D. Marutz,412-922-8181,412-937-1730,
County,6689**,PR,PHOENIX ROOFING//M.T.G. - SEE VENDOR LIST (2),PQ CONTRACT FOR WATERPROOFING &ROOFING REPAIRS,2015-09-30,49933,,,,,,,
County,6689**,PR,PHOENIX ROOFING//M.T.G. - SEE VENDOR LIST (2),PQ CONTRACT FOR WATERPROOFING &ROOFING REPAIRS,2015-09-30,49934,,,,,,,
County,6756**,EP,CILENTI CONSTRUCTION CO.,PQ CONTRACT for GEN'L REHAB/REPAIR/RENO for VARIOUS SITES (B-168),2015-12-31,50534,121 SQUAW RUN ROAD,"PITTSBURGH, PA 15238",cilenticonstruction@verizon.net,Angelo Cilenti,412-782-4464,412-782-4355,
County,6756**,EP,PUGLIANO CONSTRUCTION,PQ CONTRACT for GEN'L REHAB/REPAIR/RENO for VARIOUS SITES (B-168),2015-12-31,50917,2000 SHEENA DRIVE,"PITTSBURGH, PA 15239",deana@puglianoconstruction.com,Angelo Pugliano,412-798-9700,412-798-4500,
County,6756**,EP,A. MERANTE CONTRACTING,PQ CONTRACT for GEN'L REHAB/REPAIR/RENO for VARIOUS SITES (B-168),2015-12-31,50579,4740 STREETS RUN ROAD,"PITTSBURGH, PA 15236",amerante@amerantecontracting.com,Anthony Merante,412-884-4485,412-884-4486,
County,6756**,EP,"REPAL CONSTRUCTION CO., INC.",PQ CONTRACT fOR GEN'L REHAB/REPAIR/RENO for VARIOUS SITES (B-168),2015-12-31,50916,11075 PARKER DRIVE,"NORTH HUNTINGDON, PA 15642",dpalmer@repal.com,Daniel Palmer,412-872-2000,412-872-2009,
County,6756**,EP,MATCON DIAMOND,PQ CONTRACT for GEN'L REHAB/REPAIR/RENO for VARIOUS SITES (B-168),2015-12-31,50504,3447 E. CARSON STREET,"PITTSBURGH, PA 15203",estimating@matcondiamond.com,David Matesic,412-481-0280,412-481-3442,
County,6756**,EP,"COSTA CONTRACTING, INC.",PQ CONTRACT for GEN'L REHAB/REPAIR/RENO FOR VARIOUS SITES (B-168),2015-12-31,50533,347 LEFEVER HILL ROAD,"CHESWICK, PA 15024",domenic@costacontracting.com,Domenic Costa,724-265-4388,724-265-0077,
County,6756**,EP,S.E.T. INC.,PQ CONTRACT for GEN'L REHAB/REPAIR/RENO FOR VARIOUS SITES (B-168),2015-12-31,50535,235 E. WATER STREET,"LOUISVILLE, OH 44436",doug@setinc.biz,Doug Susany,330-536-6724,330-536-8274,
County,6756**,EP,D.T. MISTICK,PQ CONTRACT for GEN'L REHAB/REPAIR/RENO for VARIOUS SITES (B-168),2015-12-31,51043,9189 MARSHALL ROAD,"CRANBERRY TWP., PA. 16066",faithd@dtmistick.com,Faith Dickinson,412-600-3496,724-452-9784,
County,6756**,EP,"CSI CONSTRUCTION CO., INC.",PQ CONTRACT FOR GEN'L REHAB/REPAIR/RENO FOR VARIOUS SITES (B-168),2015-12-31,50500,8051 ABER ROAD,"VERONA, PA 15147",heddycsi@yahoo.com,Heddy Richard,412-580-4468,412-727-7112,
County,6756**,EP,GREEN WORLD CONTRACTING CORP.,PQ CONTRACT FOR GEN'L REHAB/REPAIR/RENO FOR VARIOUS SITES (B-168),2015-12-31,50915,342 DOWNING STREET,"PITTSBURGH, PA 15219",greenworldcorp@live.com,Henrietta O'Brein,412-251-0425,412-251-0421,
County,6756**,EP,VOELKER CONTRACTING,PQ CONTRACT FOR GEN'L REHAB/REPAIR/RENO FOR VARIOUS SITES (B-168),2015-12-31,50829,412 EMERSON AVENUE,PITTSBURGH PA 15215,jake@voelkercontracting.com,Jake Voelker,814-504-8633,,
County,6756**,EP,JOHN ZOTTOLA LANDSCAPING,PQ CONTRACT FOR GEN'L REHAB/REPAIR/RENO for VARIOUS SITES (B-168),2015-12-31,50502,209 CURTIS STREET,"PITTSBURGH, PA 15235",jes.jzlinc@comcast.net,John Zottola,412-242-9890,412-242-1123,
County,6756**,EP,"VIGLIOTTI LANDSCAPING & CONSTRUCTION, INC.",PQ CONTRACT FOR GEN'L REHAB/REPAIR/RENO FOR VARIOUS SITES (B-168),2015-12-31,50895,10250 BUCHANNON ROAD,"PITTSBURGH, PA 15235",vigliottilandscaping@yahoo.com,Joseph Vigliotti,412-247-5563,412-247-1235,
County,6756**,EP,KJ JOHNSTON,PQ CONTRACT FOR GEN'L REHAB/REPAIR/RENO FOR VARIOUS SITES (B-168),2015-12-31,50503,12 WESTERN AVENUE,"PITTSBURGH, PA 15202",keithj@johnstonltd.com,Keith Johnston,412-761-7073,412-781-8227,
County,6756**,EP,PLAVCHAK CONSTRUCTION,PQ CONTRACT for GEN'L REHAB/REPAIR/RENO FOR VARIOUS SITES (B-168),2015-12-31,50506,1512 STATE ROUTE 51,"JEFFERSON HILLS, PA 15025",mplavchak@plavchakconstruction.com,Michael J. Plavchak,412-384-3224,412-384-6770,
County,6756**,EP,"AIR TECHNOLOGY, INC.",PQ CONTRACT for GEN'L REHAB/REPAIR/RENO FOR VARIOUS SITES (B-168),2015-12-31,50497,2774 SOUTH PARK ROAD,"BETHEL PARK, PA 15102",mike@atidevelopment.net,Mike Rigas,412-833- 6257,412-833-9561,
County,6756**,EP,NATHAN CONTRACTING,PQ CONTRACT FOR GEN'L REHAB/REPAIR/RENO FOR VARIOUS SITES (B-168),2015-12-31,50505,3996 MT. ROYAL BLVD.,"ALLISON PARK, PA 15101",nicole@nathancontracting.com,Nicole Siriano,412-487-7077,412-487-7098,
County,6756**,EP,RAM CONSTRUCTION SERVICES,PQ CONTRACT FOR GEN'L REHAB/REPAIR/RENO FOR VARIOUS SITES (B-168),2015-12-31,50507,13800 ECKLES ROAD,"LIVONIA, MI 48150",rmazur@ramservices.com,Robert T. Mazur,734-464-3800,734-437-6206,
County,6756**,EP,CARL WALKER CONSTRUCTION,PQ CONTRACT FOR GEN'L REHAB/REPAIR/RENO FOR VARIOUS SITES (B-168),2015-12-31,50499,935 VISTA PARK DRIVE,"PITTSBURGH, PA 15205",swehr@carlwalkerconstruction.com,Sally Wehr,412-490-2924,412-490-2928,
County,6756**,EP,"A. FOLINO CONSTRUCTION, INC.",PQ CONTRACT FOR GEN'L REHAB/REPAIR/RENO FOR VARIOUS SITES (B-168),2015-12-31,50501,PO BOX 11179,"OAKMONT, PA 15139",sgross@folino.com,Scott Gross,412-820-2800,412-820-2808,
County,6756**,EP,R&B CONTRACTING & EXCAVATION,PQ CONTRACT FOR GEN'L REHAB/REPAIR/RENO for VARIOUS SITES (B-168),2015-12-31,50675,4821 BUTTERMILK HOLLOW ROAD,"WEST MIFFLIN, PA 15122",jhoffman@rbcontracting.net,William Rogers,412-469-1706,412-466-2154,
County,6757**,EP,"CSI CONSTRUCTION CO., INC.",PQ CONTRACT FOR PAINTING SERVICES,2015-12-31,50058,8051 ABER ROAD,"VERONA, PA 15147",heddycsi@yahoo.com,Heddy Richard,412-580-4468,412-727-7112,
County,6757**,EP,KJ JOHNSTON,PQ CONTRACT FOR PAINTING SERVICES,2015-12-31,50509,12 WESTERN AVENUE,"PITTSBURGH, PA 15202",keithj@johnstonltd.com,Keith Johnston,412-761-7073,412-781-8227,
County,6757**,EP,"AIR TECHNOLOGY, INC.",PQ CONTRACT for PAINTING SERVICES,2015-12-31,50057,2774 SOUTH PARK ROAD,"BETHEL PARK, PA 15102",mike@atidevelopment.net,Mike Rigas,412-833- 6257,412-833-9561,
County,6757**,EP,EDGE PAINTING,PQ CONTRACT FOR PAINTING SERVICES,2015-12-31,50508,13 SPRING STREET,"PITTSBURGH, PA 15209",edgepainting@verizon.net,Rebecca Finney,412-821-3804,412-821-0601,
County,6757**,EP,ELECTRO-KOTE CO.,PQ CONTRACT FOR PAINTING SERVICES,2015-12-31,50756,20 WEST BROADWAY,"N. IRWIN, PA 15642",electrokote@verizon.net,Robert Baudoux,724-864-2355,724-864-78354,
County,6757**,EP,SPECIALIZED CONTRACTING (pending),PQ CONTRACT for PAINTING SERVICES,2014-12-31,50510,319 WASHINGTON AVENUE,"DRAVOSBURG, PA 15034",scs@speccontserv.com,Tracy Szemanski,412-469-9452,412-469-9454,
County,6757**,EP,JEANNETTE PAINTING,PQ CONTRACT FOR PAINTING SERVICES,2015-12-31,50537,223 BEVINGTON PLACE,"PITTSBURGH, PA 15221",royand yolanda@comcast.net,Yolanda Lang,412-337-6750,,
County,6758**,PR,THREE VENDORS,PQ CONTACT FOR PRE-DEMO ASBESTOS INSPECTION SURVEY,2015-09-30,50952,,,,,,,
County,6849 **,WC,JR PAVING & CONSTRUCTION,PQ CONTRACT for DEMOLITION,2015-03-31,47938,PO BOX 21,"LATROBE, PA 15650",jrpaving@comcast.net,Andrea Houser,724-537-2300,724-537-7889,
County,6849 **,WC,FIVE STAR CONSTRUCTION,PQ CONTRACT FOR DEMOLITION,2015-03-31,47840,9122 MARSHALL ROAD,"CRANBERRY TWP., PA. 16066",five.star@zpominternet.net,Heather Broerman,724-766-7181,724-591-8552,
County,6849 **,WC,ADVANCED BUILDERS,PQ CONTRACT FOR DEMOLITION,2015-03-31,47839,PO BOX 684,"PERRYOPOLIS, PA 15473",knoble@diversifiedcgs.com,Karen Noble,724-929-5351,724-929-9480,
County,6849 **,WC,"LUTTERMAN EXCAVATING, LLC",PQ CONTRACT FOR DEMOLITION,2015-03-31,48002,1646 STATE ROUTE 119,"GREENSBURG, PA 15601",luttermanexcavating@hotmail.com,Lisa Lutterman,724-219-3432,724-219-3432,
County,6849 **,WC,"PICCOLOMINI CONTRACTORS, INC.",PQ CONTRACT FOR DEMOLITION,2015-03-31,48067,1790 PITTSBURGH ROAD,"WALTERSBORO, PA 15488",mariopci@yahoo.com,Mario Piccolomini,724-437-7946,724-437-9947,
County,6924**,EP,CILENTI CONSTRUCTION CO.,PQ CONTRACT for the CONSTRUCTION of HANDICAP ACCESS CURB RAMPS and SIDEWALKS,2015-09-30,50336,121 SQUAW RUN ROAD,"PITTSBURGH, PA 15238",cilenticonstruction@verizon.net,Angelo Cilenti,412-782-4464,412-820-2808,
County,6924**,EP,"JOE PALMIERI CONSTRUCTION, INC.",PQ CONTRACT FOR THE CONSTRUCTION OF HANDICAP ACCESS CURB RAMPS AND SIDEWALKS,2015-09-30,50336,2015 BABCOCK BLVD.,"PITTSBURGH, PA 15209",jpconstruction1@comcast.net,Joe Palmieri,412-821-1776,412-821-0802,
County,6924**,EP,"MICHAEL FACCHIANO CONTRACTING, INC.",PQ CONTRACT FOR THE CONSTRUCTION OF HANDICAP ACCESS CURB RAMPS AND SIDEWALKS,2015-09-30,50336,801 MCNEILLY ROAD,"PITTSBURGH, PA 15226",mfacch@mafacchianocontracting.com,Michael A. Facchiano,412-344-5503,412-344-8913,
County,6924**,EP,"A. FOLINO CONSTRUCTION, INC.",PQ CONTRACT FOR THE CONSTRUCTION OF HANDICAP ACCESS CURB RAMPS AND SIDEWALKS,2015-09-30,50336,PO BOX 11179,"OAKMONT, PA 15139",sgross@folino.com,Scott Gross,412-820-2800,412-820-2808,
County,6925**,EP,CILENTI CONSTRUCTION CO.,"PQ CONTRACT for MAINTENANCE AND REPAIRS OF STEPS, STAIRWAYS, AND OTHER RELATED CITY PROPERTY, ETC.",2015-09-30,50859,121 SQUAW RUN ROAD,"PITTSBURGH, PA 15238",cilenticonstruction@verizon.net,Angelo Cilenti,412-782-4464,412-798-4500,
County,6925**,EP,PUGLIANO CONSTRUCTION,"PQ CONTRACT for MAINTENANCE AND REPAIRS OF STEPS, STAIRWAYS, AND OTHER RELATED CITY PROPERTY, ETC.",2015-09-30,50558,2000 SHEENA DRIVE,"PITTSBURGH, PA 15239",deana@puglianoconstruction.com,Angelo Pugliano,412-798-9700,412-798-4500,
County,6925**,EP,A. MERANTE CONTRACTING,"PQ CONTRACT for MAINTENANCE AND REPAIRS OF STEPS, STAIRWAYS, AND OTHER RELATED CITY PROPERTY, ETC.",2015-09-30,50857,4740 STREETS RUN ROAD,"PITTSBURGH, PA 15236",amerante@amerantecontracting.com,Anthony Merante,412-884-4485,412-884-4486,
County,6925**,EP,MICHAEL FACCHIANO CONTRACTING,"PQ CONTRACT FOR MAINTENANCE AND REPAIRS OF STEPS, STAIRWAYS, AND OTHER RELATED CITY PROPERTY, ETC.",2015-09-30,50313,801 MCNEILLY ROAD,"PITTSBURGH, PA 15226",mfacch@mafacchianocontracting.com,Michael A. Facchiano,412-344-5503,412-344-8913,
County,6925**,EP,"A. FOLINO CONSTRUCTION, INC.","PQ CONTRACT FOR MAINTENANCE AND REPAIRS OF STEPS, STAIRWAYS, AND OTHER RELATED CITY PROPERTY, ETC.",2015-09-30,50054,PO BOX 11179,"OAKMONT, PA 15139",sgross@folino.com,Scott Gross,412-820-2800,412-820-2808,
County,6925**,EP,GRACIANO CORPORATION,"PQ CONTRACT FOR MAINTENANCE AND REPAIRS OF STEPS, STAIRWAYS, AND OTHER RELATED CITY PROPERTY, ETC.",2015-09-30,50897,209 SIGMA DRIVE,,dmcdevitt@graciano.com,,800-523-5076,412-963-6284,
County,6926**,PR,6 VENDORS,PQ CONTACT FOR PRE-DEMO ASBESTOS INSPECTION SURVEY,2015-09-30,50950,,,,,,,
County,6927**,EP,"LAWN SENSE, INC",PQ CONTRACT FOR LANDSCAPING SERVICES,2015-09-30,51080,450 DAVIDSON ROAD,"PITTSBURGH, PA 15239",brian@lawnsense.com,Brian Hunkley,888-884-5296,866-453-6782,
County,6927**,EP,"VIGLIOTTI LANDSCAPING & CONSTRUCTION, INC.",PQ CONTRACT FOR LANDSCAPING SERVICES,2015-09-30,50853,10250 BUCHANON ROAD,"PITTSBURGH, PA 15235",vigliottilandscaping@yahoo.com,Joseph Vigliotti,412-427-5563,412-427-1235,
County,6927**,EP,MICHAEL FACCHIANO CONTRACTING,PQ CONTRACT FOR LANDSCAPING SERVICES,2015-09-30,50040,801 MCNEILLY ROAD,"PITTSBURGH, PA 15226",mfacch@mafacchianocontracting.com,Michael A. Facchiano,412-344-5503,412-344-8913,
County,6927**,EP,PLAVCHAK CONSTRUCTION,PQ CONTRACT FOR LANDSCAPING SERVICES,2015-09-30,50350,1512 STATE ROUTE 51,"JEFFERSON HILLS, PA 15025",mplavchak@plavchakconstruction.com,Michael J. Plavchak,412-384-3224,412-384-6770,
County,6929**,EP,"GREGORI CONSTRUCTION, INC.",PQ CONTRACT FOR EARTH EXCAVATION AND SNOW REMOVAL,2015-09-30,50770,736 EKASTOWN ROAD,"SARVER, PA 16055",cserafine@gregori-inc.com,Chris Serafine,724-353-1322,724-353-2486,
County,6929**,EP,MATCON DIAMOND,PQ CONTRACT FOR EARTH EXCAVATION AND SNOW REMOVAL,2015-09-30,50855,3447 E. CARSON STREET,"PITTSBURGH, PA 15203",estimating@matcondiamond.com,David Matesic,412-481-0280,412-481-3442,
County,6929**,EP,"PICCOLOMINI CONTRACTORS, INC.",PQ CONTRACT FOR EARTH EXCAVATION AND SNOW REMOVAL,2015-09-30,50856,1790 PITTSBURGH ROAD,"WALTERSBORO, PA 15488",mariopci@yahoo.com,Mario Piccolomini,724-437-7946,724-437-9947,
County,6929**,EP,"MICHAEL FACCHIANO CONTRACTING, INC.",PQ CONTRACT FOR EARTH EXCAVATION AND SNOW REMOVAL,2015-09-30,50854,801 MCNEILLY ROAD,"PITTSBURGH, PA 15226",mfacch@mafacchianocontracting.com,Michael A. Facchiano,412-344-5503,412-344-8913,
County,6929**,EP,PLAVCHAK CONSTRUCTION,PQ CONTRACT FOR EARTH EXCAVATION AND SNOW REMOVAL,2015-09-30,50360,1512 STATE ROUTE 51,"JEFFERSON HILLS, PA 15025",mplavchak@plavchakconstruction.com,Michael J. Plavchak,412-384-3224,412-384-6770,
County,6929**,EP,JADELL MINNIEFIELD CONSTRUCTION,PQ CONTRACT FOR EARTH EXCAVATION AND SNOW REMOVAL,2015-09-30,50016,5005 SECOND AVENUE,"PITTSBURGH, PA 15207",jmcsi@verizon.net,Odell Minniefield Jr.,412-421-2185,412-421-2184,
County,6929**,EP,"A. FOLINO CONSTRUCTION, INC.",PQ CONTRACT FOR EARTH EXCAVATION AND SNOW REMOVAL,2015-09-30,50055,PO BOX 11179,"OAKMONT, PA 15139",sgross@folino.com,Scott Gross,412-820-2800,412-820-2808,
County,6931**,PR,BEST BUSINESS FORMS,PQ CONTRACT FOR FORMS PRINTING SERVICES,2015-09-30,49999,323 STANTON AVE.,"PITTSBURGH, PA 15209",jguaybest@aol.com,Jim Guay,412-821-1099,412-367-3325,
